fold,loss
0,0.017657682299613953
1,0.01763395220041275
2,0.017290417104959488
3,0.017882777377963066
4,0.017809366807341576
5,0.01804290898144245
6,0.017671557143330574
7,0.017288604751229286
8,0.01819976046681404
9,0.017476886510849
